variant,task,mode,accuracy,macro_f1,weighted_f1,num_classes,num_test_samples
baseline,body_system,zero_shot,0.47583717665931424,0.3640956585930746,0.4799156515102084,9,4987
baseline,body_system,linear_probe,0.6011630238620413,0.5569664760801134,0.6061735306001079,9,4987
baseline,organ,zero_shot,0.43215664644236074,0.3937516251502373,0.4273935280277242,20,3626
baseline,organ,linear_probe,0.5292333149476006,0.48896913544188936,0.5289504162483045,20,3626
ft50k,body_system,zero_shot,0.5013033888109084,0.39136135188990084,0.5103540294615367,9,4987
ft50k,body_system,linear_probe,0.6332464407459394,0.5885598181810798,0.6374707139931509,9,4987
ft50k,organ,zero_shot,0.4859349145063431,0.45364733597446893,0.48373911213568493,20,3626
ft50k,organ,linear_probe,0.5455046883618312,0.510309248901866,0.5475885338274826,20,3626
