model,train_size,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10
BioMedCLIP baseline,0,0.00419999985024333,0.02160000056028366,0.03880000114440918,0.006200000178068876,0.026000000536441803,0.044599998742341995
Fine-tune 1k,1000,0.00279999990016222,0.016200000420212746,0.029400000348687172,0.004800000227987766,0.027000000700354576,0.04820000007748604
Fine-tune 5k,5000,0.004800000227987766,0.02239999920129776,0.046799998730421066,0.007400000002235174,0.03020000085234642,0.054999999701976776
Fine-tune 10k,10000,0.006200000178068876,0.03020000085234642,0.051600001752376556,0.008200000040233135,0.038600001484155655,0.06620000302791595
Fine-tune 50k,50000,0.007600000128149986,0.038600001484155655,0.07599999755620956,0.009200000204145908,0.04399999976158142,0.07900000363588333
