variant,checkpoint,size_bytes,sha256,checkpoint_epoch,valid_i2t_R@10,valid_t2i_R@10,controlled_test_i2t_R@10_final_state,controlled_test_t2i_R@10_final_state,train_log_included
FT1k,best_model.pt,783762525,05871a0f447e1cc535761ee1dd36b2f1c7aa9fd82e2bb32cb3e16655740f3a17,1,0.028999999165534973,0.04740000143647194,0.029400000348687172,0.04820000007748604,False
FT5k,best_model.pt,783762525,6adc47b0e60c64b8a177eba95f69b7b02935a96ae5d607b0651c1eb6ac809425,3,0.05220000073313713,0.05700000002980232,0.046799998730421066,0.054999999701976776,True
FT10k,best_model.pt,783762525,1cbbb24b812022f1513870b71d91ce12fdfdd227a39830fdf2ffa7c553fabdb0,3,0.053599998354911804,0.05939999967813492,0.051600001752376556,0.06620000302791595,True
FT50k,best_model.pt,783762525,3b7cb059523804c75cbbfc5a3ca16ad43c7910ea4f66c348f7968a64c6e1799f,2,0.06560000032186508,0.0658000037074089,0.07599999755620956,0.07900000363588333,True
