direction,K,N,baseline_hits,baseline_recall_pct,baseline_wilson95_lo_pct,baseline_wilson95_hi_pct,ft50k_hits,ft50k_recall_pct,ft50k_wilson95_lo_pct,ft50k_wilson95_hi_pct,relative_change_pct,baseline_only_hits,ft50k_only_hits,discordant_queries,paired_exact_mcnemar_p
I2T,1,71918,32,0.04449511944158625,0.03152142282566143,0.06280522043685456,33,0.04588559192413582,0.032676420891429594,0.0644310188015353,3.125,27,28,55,1.0
I2T,5,71918,147,0.20439945493478684,0.17394458801762958,0.2401736447465095,155,0.2155232347951834,0.18418622591034323,0.252178378297387,5.442176870748305,119,127,246,0.6554659776114774
I2T,10,71918,269,0.37403709780583444,0.33199604113021125,0.4213793561486931,319,0.4435607219333129,0.3975699165599774,0.4948453022413717,18.587360594795534,203,253,456,0.021651272792796317
T2I,1,71918,39,0.05422842681943325,0.03967397139824667,0.0741182468774116,50,0.06952362412747852,0.052743365556614186,0.09163761345398196,28.205128205128215,37,48,85,0.2779992890805517
T2I,5,71918,171,0.23777079451597652,0.20473531338363005,0.2761220337112825,257,0.35735142801523956,0.31631218871386696,0.40369365139965074,50.29239766081872,137,223,360,6.792837670632666e-06
T2I,10,71918,331,0.4602463917239078,0.4133551720955936,0.5124296038711422,499,0.6938457687922356,0.6357572868302741,0.7572012894518763,50.755287009063444,253,421,674,1.0099925659577237e-10
